source_key,category,source_name,proposed_public_name,public_slug,name_approval_status,reference_brand,reference_fragrance,legal_review_status,counsel_decision,counsel_conditions,evidence_reference
main_list:1,inspired_collection,Bvlgari Tygar,Inspired by Bvlgari Tygar,inspired-by-bvlgari-tygar,listing_title_recorded,Bvlgari,Tygar,india_counsel_pending,,,
main_list:2,inspired_collection,Dior Sauvage,Inspired by Dior Sauvage,inspired-by-dior-sauvage,listing_title_recorded,Dior,Sauvage family,india_counsel_pending,,,
main_list:3,inspired_collection,Afternoon Swim,Inspired by Louis Vuitton Afternoon Swim,inspired-by-louis-vuitton-afternoon-swim,listing_title_recorded,Louis Vuitton,Afternoon Swim,india_counsel_pending,,,
main_list:5,inspired_collection,Creed Aventus,Inspired by Creed Aventus,inspired-by-creed-aventus,listing_title_recorded,Creed,Aventus,india_counsel_pending,,,
main_list:6,inspired_collection,Hawas For Him,Inspired by Rasasi Hawas for Him,inspired-by-rasasi-hawas-for-him,listing_title_recorded,Rasasi,Hawas for Him,india_counsel_pending,,,
main_list:7,inspired_collection,Elysium Roja,Inspired by Roja Parfums Elysium Pour Homme,inspired-by-roja-parfums-elysium-pour-homme,listing_title_recorded,Roja Parfums,Elysium Pour Homme family,india_counsel_pending,,,
main_list:8,inspired_collection,Stronger With You,Inspired by Emporio Armani Stronger With You,inspired-by-emporio-armani-stronger-with-you,listing_title_recorded,Emporio Armani,Stronger With You family,india_counsel_pending,,,
main_list:9,inspired_collection,Hudson Valley,Inspired by Gissah Hudson Valley,inspired-by-gissah-hudson-valley,listing_title_recorded,Gissah,Hudson Valley,india_counsel_pending,,,
main_list:14,inspired_collection,Alexandria II,Inspired by Xerjoff Alexandria II,inspired-by-xerjoff-alexandria-ii,listing_title_recorded,Xerjoff,Alexandria II,india_counsel_pending,,,
main_list:16,inspired_collection,Aurum,Inspired by Ajmal Aurum,inspired-by-ajmal-aurum,listing_title_recorded,Ajmal,Aurum,india_counsel_pending,,,
main_list:17,inspired_collection,Black Afgano,Inspired by Nasomatto Black Afgano,inspired-by-nasomatto-black-afgano,listing_title_recorded,Nasomatto,Black Afgano,india_counsel_pending,,,
main_list:18,inspired_collection,Dunhill Icon,Inspired by Dunhill Icon,inspired-by-dunhill-icon,listing_title_recorded,Dunhill,Icon,india_counsel_pending,,,
main_list:19,inspired_collection,Diptyque Tam Dao,Inspired by Diptyque Tam Dao,inspired-by-diptyque-tam-dao,listing_title_recorded,Diptyque,Tam Dao family,india_counsel_pending,,,
main_list:20,inspired_collection,One Million Lucky,Inspired by Rabanne 1 Million Lucky,inspired-by-rabanne-1-million-lucky,listing_title_recorded,Rabanne,1 Million Lucky,india_counsel_pending,,,
main_list:22,inspired_collection,VIP 212 Men,Inspired by Carolina Herrera 212 VIP Men,inspired-by-carolina-herrera-212-vip-men,listing_title_recorded,Carolina Herrera,212 VIP Men,india_counsel_pending,,,
main_list:23,inspired_collection,Azzaro Most Wanted,Inspired by Azzaro The Most Wanted,inspired-by-azzaro-the-most-wanted,listing_title_recorded,Azzaro,The Most Wanted,india_counsel_pending,,,
main_list:25,inspired_collection,Tom Ford Oud Wood,Inspired by Tom Ford Oud Wood,inspired-by-tom-ford-oud-wood,listing_title_recorded,Tom Ford,Oud Wood,india_counsel_pending,,,
main_list:26,inspired_collection,I Want Choo,Inspired by Jimmy Choo I Want Choo,inspired-by-jimmy-choo-i-want-choo,listing_title_recorded,Jimmy Choo,I Want Choo,india_counsel_pending,,,
main_list:27,inspired_collection,Burberry Her,Inspired by Burberry Her,inspired-by-burberry-her,listing_title_recorded,Burberry,Her family,india_counsel_pending,,,
main_list:28,inspired_collection,1 Million,Inspired by Rabanne 1 Million,inspired-by-rabanne-1-million,listing_title_recorded,Rabanne,1 Million,india_counsel_pending,,,
main_list:29,inspired_collection,Armani Passione,Inspired by Giorgio Armani Sì Passione,inspired-by-giorgio-armani-si-passione,listing_title_recorded,Giorgio Armani,Sì Passione family,india_counsel_pending,,,
main_list:31,inspired_collection,Ultra Male,Inspired by Jean Paul Gaultier Ultra Male,inspired-by-jean-paul-gaultier-ultra-male,listing_title_recorded,Jean Paul Gaultier,Ultra Male,india_counsel_pending,,,
main_list:32,inspired_collection,Gucci Bloom,Inspired by Gucci Bloom,inspired-by-gucci-bloom,listing_title_recorded,Gucci,Bloom family,india_counsel_pending,,,
main_list:33,inspired_collection,Flower Bomb,Inspired by Viktor&Rolf Flowerbomb,inspired-by-viktor-rolf-flowerbomb,listing_title_recorded,Viktor&Rolf,Flowerbomb,india_counsel_pending,,,
main_list:35,inspired_collection,Invictus,Inspired by Rabanne Invictus,inspired-by-rabanne-invictus,listing_title_recorded,Rabanne,Invictus family,india_counsel_pending,,,
main_list:36,inspired_collection,YSL Libre,Inspired by Yves Saint Laurent Libre,inspired-by-yves-saint-laurent-libre,listing_title_recorded,Yves Saint Laurent,Libre family,india_counsel_pending,,,
main_list:37,inspired_collection,Erba Pura,Inspired by Xerjoff Erba Pura,inspired-by-xerjoff-erba-pura,listing_title_recorded,Xerjoff,Erba Pura,india_counsel_pending,,,
main_list:41,inspired_collection,Ombre Nomad,Inspired by Louis Vuitton Ombre Nomade,inspired-by-louis-vuitton-ombre-nomade,listing_title_recorded,Louis Vuitton,Ombre Nomade,india_counsel_pending,,,
main_list:42,inspired_collection,Prada Candy,Inspired by Prada Candy,inspired-by-prada-candy,listing_title_recorded,Prada,Candy family,india_counsel_pending,,,
main_list:43,inspired_collection,Tom Ford Vanilla Fatale,Inspired by Tom Ford Vanille Fatale,inspired-by-tom-ford-vanille-fatale,listing_title_recorded,Tom Ford,Vanille Fatale,india_counsel_pending,,,
main_list:44,inspired_collection,Black Orchid,Inspired by Tom Ford Black Orchid,inspired-by-tom-ford-black-orchid,listing_title_recorded,Tom Ford,Black Orchid family,india_counsel_pending,,,
